"product_id","product_name","product_type","product_fire_coverage","product_legal_defense_coverage","product_liability_coverage","product_passangers_coverage","product_damage_coverage","product_theft_coverage","product_windshield_coverage"
"04176a436a7715d586489adb2a959f1a",Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"9a58fe94afc39c12ab49c6cd3faef009",Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
"77564e56f872c44d57092fa6c10c4bf4",Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"4188f28c6cfcc04ff27abb5bb4c206b5",Telematics Employee,CarIn Employee,N,Y,Y,Y,N,N,N
"8542c558a63615ea44cf6f8a5593b57c",Telematics Employee,CarIn Employee,Y,Y,Y,Y,N,N,Y
"00c04ab5d7d681d5b05aa2f132fefa1b",Telematics Employee,CarIn Employee,Y,Y,Y,Y,N,Y,Y
b22df05f83a039628755cd1cc5c2f8c1,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"0dd1531ed4b1a3a4ca9fdc41e8b909b7",Telematics Employee,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
ae24857e49b395232a759605d1afe8a9,Telematics,CarIn,N,Y,Y,Y,N,N,N
"76dccc073ca959c7c57dc8f3840079b9",Telematics,CarIn New,N,N,Y,N,N,N,N
"6014b13de73697dbbef73208cfa6a782",Telematics,CarIn New,N,N,N,N,N,N,N
"9e7286e267d8a2719a4dfcd652acef25",Telematics,CarIn New,N,Y,Y,Y,Y,Y,N
"2661d938891b0cf014144db4e1d0e603",Telematics,CarIn New,N,Y,Y,Y,Y,Y,N
"571a67c1bf5977b3bafd44e5e26f61e8",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"4fad66e5c832dee400e0c3acb00f08b1",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
a718df346714eeddb751e061ff1a91c9,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"7d91b599d163ad4ab1f4926e782c1fe7",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"8a3ef5666133b61062e73cbb44f331c7",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
b783616e254ed9b4b82acfd216d652ac,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"6190554c4fec5ba8b4708cbb7941576d",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
"1087c7515d7b5c25b779d4d0361bc335",Telematics,CarIn New,N,N,N,N,N,N,N
bf0ac8d28a7e218a929ddb99ab106788,Telematics,CarIn New,Y,Y,Y,Y,Y,N,Y
"0e388c0e9954020acfc646ba6ab871f3",Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
"580363a06f86d29fc79d4346f7d6e12c",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
ee3a5885c826e7448e2bcd74c4cbf74b,Telematics,CarIn New,Y,Y,Y,Y,Y,Y,Y
"1cf9d28362a8e6cfcabb6a2364e06465",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"7ef1a71db6641f1d6dd4f16b505eb126",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
